id,uri,old_findID,secuid,objecttype,objectCertainty,classification,subClassification,length,height,width,thickness,diameter,weight,quantity,otherRef,smrRef,musaccno,TID,broadperiod,fromdate,todate,periodFromName,subperiodFrom,periodToName,subperiodTo,cultureName,description,note,reasonTerm,notes,inscription,workflow,rulerName,mintName,denominationName,tribeName,reeceID,categoryTerm,typeTerm,geography,axis,moneyerName,obverseDescription,reverseDescription,obverseLegend,reverseLegend,mintmark,cciNumber,reverseType,datefound1,datefound2,regionName,county,district,parish,knownas,gridref,fourFigure,easting,northing,latitude,longitude,gridSource,subsequentActionTerm,currentLocation,thumbnail,imagedir,filename,finder,discoveryMethod,creator,institution,created,updated
994993,https://finds.org.uk/database/artefacts/record/id/994993,BH-638D06,PAS5E5638D00015F4,COIN,,,,,,,,17.9,2.36,1,,,,,ROMAN,355,360,ROMAN,,ROMAN,,,"A complete silver siliqua of Julian II (AD 355-363) dating to the period AD 355-360&nbsp;(Reece Period 18). The reverse depicts&nbsp;VOTIS/V/MVLTIS/X within a wreath. Mint of Arles. RIC VIII, p. 227, no. 292.",,,,,3,Julian,Arelatum,Siliqua,,18,,,,11,,"Pearl-diademed, draped and cuirassed bust right","Wreath with legend VOTIS/V/MVLTIS/X over four lines","DN IVLIAN-VS[...]","VOTIS V MVLTIS X","- // TCON",,,2019-09-01T00:00:00Z,2019-09-01T00:00:00Z,,Hertfordshire,"East Hertfordshire","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1095123,images/mfittock/,BH638D06.jpg,"Restricted info","Metal detector","Matthew Fittock",BH,2020-02-26T09:22:24Z,2020-03-21T12:50:01Z
994706,https://finds.org.uk/database/artefacts/record/id/994706,BH-4EEEC1,PAS5E54EEEC001164,COIN,,,,,,,,15.1,1.61,1,,,,,ROMAN,347,348,ROMAN,,ROMAN,,,"A copper-alloy Roman&nbsp;nummus of Constans&nbsp;(AD 333-350) dating to the period&nbsp;AD&nbsp;347-348 (Reece Period 17). VICT[O]RIAE DD AVG[G]Q NN reverse type depicting two Victories holding wreath and palm. Mint of Trier. RIC&nbsp;VIII, p.152, no.196.",,,,,3,Constans,Trier,"Nummus (AE 1 - AE 4)",,17,,,,6,,"Pearl-diademed, draped and cuirassed bust right","Two Victories holding wreaths","CONSTAN - (S P F AVG)","VICT[O]RIAE DD AVG[G]Q NN",D//TRP,,,2019-08-07T00:00:00Z,2019-08-07T00:00:00Z,,Hertfordshire,"North Hertfordshire","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1095036,images/mfittock/,BH4EEEC1.jpg,"Restricted info","Metal detector","Matthew Fittock",BH,2020-02-25T09:54:52Z,2020-03-21T12:54:45Z
994180,https://finds.org.uk/database/artefacts/record/id/994180,PUBLIC-E97499,PAS5E4E974900190B,COIN,,,,,,,,19,2.92,1,,,,,ROMAN,317,340,ROMAN,,ROMAN,,,"A copper-alloy Roman nummus of Constantine II (AD 317-340), dating to the period c.AD 321 (Reece period 16). Obverse: CONSTANTINVS IVN NOB C, Laureate, draped, and cuirassed bust left holding Victory on globe in right hand and mappa in left. Reverse: BEATA TRAN-QVILLITAS, A globe on an altar inscribed VOT/IS/XX, three stars above. Mint of Trier: -//STR As RIC VII, p. 191, no. 312.",,,,,3,"Constantine II",Trier,"Nummus (AE 1 - AE 4)",,16,,,,6,,"Laureate, draped, and cuirassed bust left holding Victory on globe in right hand and mappa in left.","A globe on an altar inscribed VOT/IS/XX, three stars above.","CONSTANTINVS IVN NOB C","BEATA TRAN-QVILLITAS",-//STR,,,2020-02-02T00:00:00Z,,,Hertfordshire,"Welwyn Hatfield","Restricted access","Nr Codicote",,"Restricted access",,,,,,"Returned to finder",,1093529,images/strebor/,PUBLICE97499RomannummusConstantineIIAD31740BEATATRANQVILLITAS.jpg,"Restricted info","Metal detector","David Roberts",PUBLIC,2020-02-20T14:27:21Z,2020-02-21T11:58:42Z
987795,https://finds.org.uk/database/artefacts/record/id/987795,PUBLIC-C94E4B,PAS5E1C94E4001BA1,COIN,,,,,,,,18.5,1.43,1,,,,,ROMAN,260,268,ROMAN,,ROMAN,,,"A copper-alloy Roman radiate of Gallienus (AD 253-268), sole reign, dating to the period c.AD 260-268 (Reece Period 13). APOLLINI CONS AVG reverse type depicting a&nbsp;Griffin left. Mint of&nbsp;Rome. Cf. Cunetio, p. 120, no. 1351.",,,,,3,"Gallienus (sole reign)",Rome,"Radiate (antoninianus)",,13,,,,6,,"Radiate head right","A griffin left","GAL[LIENV]S [AVG]","APOLLIN[I CONS AVG]",-//?,,,2020-01-05T00:00:00Z,,,Hertfordshire,"Welwyn Hatfield","Restricted access","Nr Codicote",,"Restricted access",,,,,,"Returned to finder",,1087745,images/strebor/,PUBLICC94E4BRomanradiateGallienvsAPOLLINICONSAVGGriffinleft.jpg,"Restricted info","Metal detector","David Roberts",PUBLIC,2020-01-13T16:03:48Z,2020-01-13T16:31:01Z
983783,https://finds.org.uk/database/artefacts/record/id/983783,BH-7A498C,PAS5DE7A498001C96,COIN,,,,,,,,21.9,2.16,1,,,,,"POST MEDIEVAL",1516,1558,"POST MEDIEVAL",,"POST MEDIEVAL",,,"A post-medieval gilded copper-alloy contemporary copy of a Joanna (Queen of Castile and Aragon) and Charles V (1506-16) gold escudo struck after the death of Joanna when Charles became Charles I of Spain (1516-1558). Although a copy, the coin appears to be based on the gold escudo from the mint at Seville (with an S to the right of the shield on the obverse) of a type minted in 1535 (Clemente and Cayon 3147-8). Ref: Clemente and Cayon 2005: 473-4.",,,,,3,"Joanna and Charles of Spain",,"escudo-double principat-double ducado",,,,"Spain: Gold escudo - double principat - double ducado of Joanna and Charles (Clemente and Cayon 3135-3163)",,12,,"Crowned Arms of Castile","Cross pattée within a four-arched tressure, fleur on each cusp.","[...]O[...]A ET [...]AR[...]","HISPAN[...]GES : SI[...]",,,,2018-02-24T00:00:00Z,2018-02-24T00:00:00Z,,Hertfordshire,"North Hertfordshire","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1084465,images/sashamarie/,BH7A98C.jpg,"Restricted info","Metal detector","Alexandra Cobby",BH,2019-12-04T12:20:40Z,2019-12-13T14:10:31Z
983768,https://finds.org.uk/database/artefacts/record/id/983768,BH-79CB28,PAS5DE79CB2001817,COIN,,,,,,,,19.3,1.24,1,,,,,MEDIEVAL,1285,1314,MEDIEVAL,,MEDIEVAL,,,"A silver medieval French maille tierce of Philip IV of France (1285-1314), Duplessy 219C, introduced AD1306. Ref: Duplessy 1988: 91.",1,,"The maille tierce, a fraction of the larger gros tournoi, is an unusual find in Britain. This is only the fourth recorded by the PAS: see BERK-6A24C7, NMS-DBD584 and NARC-265D01.",,3,"Philippe IV of France",,"Maille tierce",,,,"French: Maille tierce of Philippe IV",,4,,"Cross patteé in the centre of two outer circles, each with legend.","Chatel Tournois within a border of 10 bracketed lys","BNDICTV : SIT : NOmE : DHINI / PHILIPPVS REX (stops are triple pellet colons)","TVRONVS . CIVIS",,,,2016-03-05T00:00:00Z,2016-03-05T00:00:00Z,,Hertfordshire,"North Hertfordshire","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1084483,images/sashamarie/,BH79CB28.jpg,"Restricted info","Metal detector","Alexandra Cobby",BH,2019-12-04T11:46:58Z,2019-12-13T15:14:40Z
977249,https://finds.org.uk/database/artefacts/record/id/977249,PUBLIC-726821,PAS5DB726820010F1,COIN,,,,,,,4.51,29.48,16.44,1,,,,,ROMAN,171,172,ROMAN,,ROMAN,,,"A Roman copper-alloy sestertius of Marcus Aurelius (AD 161-180), dating to the period AD 171-172 (Reece period 8). IMP VI COS III reverse type depicting Roma seated left holding sceptre, left elbow resting on shield. Mint of Rome. As RIC III. p 295, no. 1037.",,,,,3,"Marcus Aurelius (as Augustus)",Rome,Sestertius,,8,,,,,,"Laureate head right.","Roma seated left on cuirass holding sceptre, left elbow resting on round shield, behind her an oval shield.","M ANTO[NINVS]-AVG TR P XXVI,","IMP [VI] COS III, S C",,,,2019-08-18T00:00:00Z,,,Hertfordshire,"Welwyn Hatfield","Restricted access","Nr Codicote",,"Restricted access",,,,,,"Returned to finder",,1078537,images/strebor/,PUBLIC726821MarcusAureliusRomaseatedleftonrocksAD17172.jpg,"Restricted info","Metal detector","David Roberts",PUBLIC,2019-10-28T17:33:54Z,2019-10-29T09:52:24Z
977205,https://finds.org.uk/database/artefacts/record/id/977205,PUBLIC-710CE9,PAS5DB710CE001997,COIN,,,,,,,,16.91,1.71,1,,,,,ROMAN,260,268,ROMAN,,ROMAN,,,"A copper-alloy Roman radiate of Cornelia Salonina (AD 253-268), sole reign with Gallienus, dating to the period AD 260-268 AD (Reece Period 13). [IVNONI] CONS AVG reverse type depicting a Capreolus walking left. Mint of Rome, sixth series. As Cunetio, p. 121, no. 1418. RIC V, Pt 1, No.16.",,,,,3,"Salonina (sole reign of Gallienus)",Rome,"Radiate (antoninianus)",,13,,,,,,"Diademed and draped bust right, on crescent","Capreolus walking left","COR SALONINA AVG","[IVNONI CO]NS AVG",,,,2019-08-18T00:00:00Z,,,Hertfordshire,"Welwyn Hatfield","Restricted access","Nr Codicote",,"Restricted access",,,,,,"Returned to finder",,1078521,images/strebor/,PUBLIC710CE9RomanbronzeSalonina2608AD.jpg,"Restricted info","Metal detector","David Roberts",PUBLIC,2019-10-28T16:01:18Z,2019-10-29T09:52:45Z
973596,https://finds.org.uk/database/artefacts/record/id/973596,BH-481D65,PAS5D9481D60015D5,COIN,,,,,,,,18,3.1,1,,,,,ROMAN,134,138,ROMAN,,ROMAN,,,"A silver Roman denarius of Hadrian (AD 117-138) dating to the period AD 134 to 138 (Reece Period 6). AFRICA reverse type depicting Africa with elephant skin headdress, reclining left, leaning on a rock, holding scorpion and cornucopiae, in front of her, a basket of fruit. Mint of Rome. As RIC II, p. 374, no. 299.",,,,,3,Hadrian,Rome,"Denarius (Empire)",,6,,,,7,,"Bare head right","Africa wearing elephant skin head-dress, reclining left, leaning on a rock, holding scorpion and cornucopiae; in front of her, a basket of fruit","HADRIANVS AVG COS III PP",AFRICA,-//-,,,2019-09-02T00:00:00Z,2019-09-08T00:00:00Z,,Hertfordshire,"North Hertfordshire","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1077204,images/mfittock/,BH481D65.jpg,"Restricted info","Metal detector","Matthew Fittock",BH,2019-10-02T11:54:14Z,2020-04-29T12:55:25Z
970203,https://finds.org.uk/database/artefacts/record/id/970203,BH-8B7285,PAS5D78B7280014E3,COIN,,,,,,,3.2,16.1,2.7,1,,,,,"IRON AGE",-100,-50,"IRON AGE",,"IRON AGE",,,"An incomplete cast copper-alloy potin, possibly a continental Gallic boar-standard type of the Leuci, dating to the period c.1st century BC. Obverse: Unclear head left(?) with large locks of hair. Reverse: A boar-standard left, unclear motif below. Cf. Allen, 1995: no.398ff.",,,,,3,,,"Potin (Cast bronze)",Leuci,,,,"Belgic,Continental",,,"Unclear head left(?) with large locks of hair.","A boar-standard left, unclear motif below.",,,,,,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,,Hertfordshire,"East Hertfordshire","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1074506,images/mfittock/,BH8B7285.jpg,"Restricted info","Metal detector","Matthew Fittock",BH,2019-09-11T09:58:16Z,2019-09-26T16:44:18Z
